Diff_Out_Magnitude X,Diff_Out_Magnitude Y,Diff_Out_Phase X,Diff_Out_Phase Y
1000,78.98288835094979,1000,-5.803920277181279
1059.253725177289,78.97757218991144,1059.253725177289,-6.147243287805747
1122.018454301964,78.97158872725333,1122.018454301964,-6.510390089803257
1188.502227437019,78.96486016124211,1188.502227437019,-6.89443976501851
1258.925411794168,78.95729975708237,1258.925411794168,-7.300519983672208
1333.521432163324,78.94881086192036,1333.521432163324,-7.729806953749293
1412.537544622755,78.93928583543399,1412.537544622755,-8.183524856133149
1496.235656094434,78.92860489353255,1496.235656094434,-8.662944664814379
1584.893192461114,78.91663486415135,1584.893192461114,-9.169382236434977
1678.804018122561,78.90322785447354,1678.804018122561,-9.704195535455391
1778.279410038923,78.88821983314065,1778.279410038923,-10.26878084552842
1883.649089489801,78.87142913222728,1883.649089489801,-10.86456779799759
1995.26231496888,78.85265487891503,1995.26231496888,-11.49301303219295
2113.489039836647,78.83167537113995,2113.489039836647,-12.15559228560952
2238.72113856834,78.80824641758471,2238.72113856834,-12.85379069882071
2371.373705661656,78.78209966927979,2371.373705661656,-13.58909111065788
2511.886431509581,78.75294097885725,2511.886431509581,-14.36296011726715
2660.72505979881,78.720448833323,2660.72505979881,-15.17683167584948
2818.382931264455,78.68427291679679,2818.382931264455,-16.03208805274684
2985.382618917961,78.64403287131439,2985.382618917961,-16.93003795022499
3162.27766016838,78.59931733689949,3162.27766016838,-17.87189170227916
3349.654391578278,78.5496833654563,3349.654391578278,-18.85873351055457
3548.133892335756,78.49465631240813,3548.133892335756,-19.89149079303724
3758.374042884443,78.43373032344886,3758.374042884443,-20.97090086220916
3981.071705534974,78.36636953787168,3981.071705534974,-22.09747531317734
4216.965034285824,78.29201013379611,4216.965034285824,-23.27146270701261
4466.835921509632,78.21006333435791,4466.835921509632,-24.49281035877906
4731.512589614807,78.11991948170213,4731.512589614807,-25.76112628928827
5011.872336272725,78.02095326058185,5011.872336272725,-27.07564264859832
5308.844442309886,77.9125301170417,5308.844442309886,-28.43518215525644
5623.413251903494,77.79401386948561,5623.413251903494,-29.83812929526532
5956.621435290108,77.66477544839587,5956.621435290108,-31.28240815585709
6309.573444801936,77.52420262774883,6309.573444801936,-32.76546879427721
6683.43917568615,77.37171053696861,6683.43917568615,-34.2842839605232
7079.457843841383,77.20675265992024,7079.457843841383,-35.83535773624593
7498.942093324562,77.02883195745493,7498.942093324562,-37.41474725782081
7943.282347242819,76.83751169076436,7943.282347242819,-39.01809812954867
8413.951416451955,76.63242548812134,8413.951416451955,-40.64069345024276
8912.509381337461,76.41328619087565,8912.509381337461,-42.27751560311219
9440.60876285924,76.17989304246267,9440.60876285924,-43.92331916566471
10000.00000000001,75.93213684808435,10000.00000000001,-45.57271256081792
10592.53725177289,75.67000282781913,10592.53725177289,-47.22024545843941
11220.18454301964,75.39357100623275,11220.18454301964,-48.86049851999633
11885.02227437019,75.10301411705007,11885.02227437019,-50.4881719089551
12589.25411794168,74.79859313849106,12589.25411794168,-52.09816907985191
13335.21432163325,74.48065070111858,13335.21432163325,-53.68567270108896
14125.37544622755,74.14960271466116,14125.37544622755,-55.24621012596253
14962.35656094434,73.80592863329154,14962.35656094434,-56.77570652686744
15848.93192461114,73.45016081884323,15848.93192461114,-58.27052459935877
16788.04018122561,73.08287346486989,16788.04018122561,-59.72749052082849
17782.79410038924,72.70467151792926,17782.79410038924,-61.1439065717807
