Phase X,Phase Y,Gain X,Gain Y
1000,-0.02480435200359172,1000,6.017529859611178
1059.253725177289,-0.02364860759396886,1059.253725177289,6.017529784786456
1122.018454301964,-0.02257124886677831,1122.018454301964,6.017529718086324
1188.502227437019,-0.02156870481147409,1188.502227437019,6.017529658625716
1258.925411794168,-0.02063765239765753,1258.925411794168,6.017529605615635
1333.521432163324,-0.0197750055606553,1333.521432163324,6.017529558352663
1412.537544622755,-0.01897790497254697,1412.537544622755,6.017529516209642
1496.235656094434,-0.01824370856469395,1496.235656094434,6.017529478627361
1584.893192461114,-0.01756998277041161,1584.893192461114,6.017529445107145
1678.804018122561,-0.0169544944587182,1678.804018122561,6.017529415204168
1778.279410038923,-0.01639520353242842,1778.279410038923,6.017529388521655
1883.649089489801,-0.01589025616609665,1883.649089489801,6.017529364705561
1995.26231496888,-0.01543797866135166,1995.26231496888,6.017529343439838
2113.489039836647,-0.0150368718992766,2113.489039836647,6.017529324442295
2238.72113856834,-0.01468560637146193,2238.72113856834,6.01752930746088
2371.373705661656,-0.01438301777321674,2371.373705661656,6.017529292270238
2511.886431509581,-0.0141281031443978,2511.886431509581,6.017529278668792
2660.72505979881,-0.01392001754498533,2660.72505979881,6.017529266476064
2818.382931264455,-0.01375807125449421,2818.382931264455,6.017529255530278
2985.382618917961,-0.01364172748579641,2985.382618917961,6.017529245686184
3162.27766016838,-0.01357060060590403,3162.27766016838,6.017529236813147
3349.654391578278,-0.01354445485778062,3349.654391578278,6.017529228793435
3548.133892335756,-0.01356320357887875,3548.133892335756,6.01752922152063
3758.374042884443,-0.01362690891390355,3758.374042884443,6.017529214898213
3981.071705534974,-0.01373578202080953,3981.071705534974,6.01752920883834
4216.965034285824,-0.01389018377069631,4216.965034285824,6.017529203260574
4466.835921509632,-0.01409062594397185,4466.835921509632,6.017529198090918
4731.512589614807,-0.01433777292668808,4731.512589614807,6.017529193260749
5011.872336272725,-0.01463244391273709,5011.872336272725,6.017529188705991
5308.844442309886,-0.0149756156191474,5308.844442309886,6.017529184366204
5623.413251903494,-0.01536842552350509,5623.413251903494,6.017529180183812
5956.621435290108,-0.01581217563427756,5956.621435290108,6.017529176103285
6309.573444801936,-0.01630833680640517,6309.573444801936,6.017529172070515
6683.43917568615,-0.0168585536166653,6683.43917568615,6.017529168031971
7079.457843841383,-0.017464649814747,7079.457843841383,6.017529163934059
7498.942093324562,-0.01812863436827977,7498.942093324562,6.017529159722411
7943.282347242819,-0.0188527081217818,7943.282347242819,6.017529155341135
8413.951416451955,-0.01963927109156353,8413.951416451955,6.017529150732108
8912.509381337461,-0.02049093042086901,8912.509381337461,6.017529145834168
9440.60876285924,-0.02141050902150598,9440.60876285924,6.017529140582304
10000.00000000001,-0.02240105493069976,10000.00000000001,6.017529134906836
10592.53725177289,-0.02346585141414775,10592.53725177289,6.017529128732455
11220.18454301964,-0.02460842784874563,11220.18454301964,6.017529121977222
11885.02227437019,-0.02583257142110526,11885.02227437019,6.017529114551521
12589.25411794168,-0.02714233968057618,12589.25411794168,6.017529106356813
13335.21432163325,-0.02854207398851136,13335.21432163325,6.017529097284344
14125.37544622755,-0.03003641390808499,14125.37544622755,6.017529087213721
14962.35656094434,-0.03163031258276511,14962.35656094434,6.01752907601135
15848.93192461114,-0.03332905315398853,15848.93192461114,6.017529063528535
16788.04018122561,-0.03513826627279248,16788.04018122561,6.017529049599668
17782.79410038924,-0.03706394876325743,17782.79410038924,6.01752903403992
18836.49089489802,-0.03911248349970151,18836.49089489802,6.017529016642815
19952.62314968881,-0.04129066056346506,19952.62314968881,6.017528997177494
21134.89039836648,-0.04360569974953724,21134.89039836648,6.017528975385684
22387.21138568341,-0.04606527449742131,22387.21138568341,6.017528950978188
23713.73705661657,-0.04867753732578152,23713.73705661657,6.017528923631158
25118.86431509582,-0.05145114685502667,25118.86431509582,6.017528892981704
26607.25059798811,-0.05439529650750843,26607.25059798811,6.017528858623132
28183.82931264456,-0.05751974498041162,28183.82931264456,6.017528820099503
29853.82618917962,-0.06083484859237714,29853.82618917962,6.017528776899651
31622.77660168382,-0.0643515956110796,31622.77660168382,6.01752872845032
33496.54391578279,-0.0680816426755711,33496.54391578279,6.017528674108608
35481.33892335757,-0.07203735343412002,35481.33892335757,6.017528613153412
37583.74042884444,-0.07623183952562747,37583.74042884444,6.017528544775934
39810.71705534976,-0.08067900404052071,39810.71705534976,6.017528468068769
42169.65034285826,-0.08539358760517052,42169.65034285826,6.017528382014055
44668.35921509634,-0.09039121724263049,44668.35921509634,6.017528285469921
47315.12589614809,-0.0956884581717263,47315.12589614809,6.01752817715521
50118.72336272727,-0.1013028687161754,50118.72336272727,6.017528055632653
53088.44442309887,-0.1072530585058764,53088.44442309887,6.017527919289634
56234.13251903495,-0.1135587501632985,56234.13251903495,6.017527766316929
59566.21435290109,-0.1202408446795254,59566.21435290109,6.017527594684622
63095.73444801938,-0.1273214906968144,63095.73444801938,6.017527402115141
66834.39175686151,-0.1348241579273372,66834.39175686151,6.017527186053115
70794.57843841385,-0.1427737149516919,70794.57843841385,6.01752694363138
74989.42093324565,-0.151196511655174,74989.42093324565,6.01752667163296
79432.82347242822,-0.1601204665752663,79432.82347242822,6.01752636644841
84139.51416451958,-0.1695751594501454,84139.51416451958,6.01752602402779
89125.09381337464,-0.179591929275194,89125.09381337464,6.017525639827063
94406.08762859243,-0.1902039781929357,94406.08762859243,6.017525208747655
100000.0000000001,-0.2014464815611245,100000.0000000001,6.01752472506885
105925.372517729,-0.2133567045643276,105925.372517729,6.017524182371799
