Gain_Sweep vs Diff_Out_DC X,Gain_Sweep vs Diff_Out_DC Y
-1.768609735357559,41.68546850089285
-1.76773173701794,43.46096127213409
-1.76681578559511,45.33941633939437
-1.765859630614134,47.32971888802016
-1.764860838214503,49.44027322201156
-1.76381676932132,51.68146189400852
-1.762724555984867,54.06461421902879
-1.761581073428647,56.60216295435669
-1.760382907602317,59.30926771258243
-1.759126320323971,62.20113247926447
-1.757807189389963,65.29704653046068
-1.756420986512589,68.61711104711911
-1.754962683979933,72.18569023297341
-1.753426694897027,76.03153563539797
-1.751806779482467,80.18589320663375
-1.750095934886336,84.68689219537239
-1.74828626061565,89.5789659779072
-1.746368790629237,94.91438941561957
-1.744333283320117,100.7577125591664
-1.742167963780812,107.1834243790208
-1.739859179751731,114.2849237244208
-1.737390970256454,122.1764921926948
-1.734744492346209,131.000139106582
-1.731897260197796,140.938132284564
-1.728822123996034,152.2193942066039
-1.725485782907163,165.1490490481708
-1.72184685397055,180.1271624895059
-1.717852926032431,197.6986520272331
-1.713436057307701,218.6352205093401
-1.708506336592564,244.0214194207055
-1.702940957992683,275.4865161806273
-1.696566225355444,315.5495810928998
-1.689126572800946,368.2613468153291
-1.680225566403045,440.6002572963644
-1.669209488309878,545.2964109081745
-1.654916136658319,707.5216142738121
-1.635107591287486,980.5239763801771
-1.605239624688384,1478.458506744466
-1.557010498460113,2387.344135643561
-1.481724785511872,3726.64651758441
-1.378921459620583,5088.769720388544
-1.254050115515382,6181.137714345159
-1.112374457890643,7012.917351401064
-0.9580368547344105,7639.718995952494
-0.7943289707362052,8103.544350201058
-0.6238526318184573,8438.578860814314
-0.4486522414335646,8672.41941077638
-0.2703552321990578,8825.702045365109
-0.09030718333178711,8912.378508053682
0.09030718332814769,8940.411239070885
0.2703552322014795,8912.37850835371
0.448652241433481,8825.702045241096
0.6238526081315082,8672.418238276527
0.7943289710952787,8438.58005109244
0.9580368534241217,8103.544267567588
1.112374461080424,7639.719218706186
1.254050084609101,7012.915663652609
1.378921458274406,6181.139177571799
1.481724786016846,5088.769812020589
1.557010499124135,3726.646525457332
1.605239625364061,2387.344136220479
1.635107527614694,1478.455321507822
1.654916135893451,980.5270903255722
1.669209371111023,707.5158507856643
1.680225566400216,545.3022121172294
1.689126582490769,440.6007370831189
1.69656622536504,368.2608676459932
1.702940927287591,315.5480607143392
1.708506387555561,275.4905587550844
1.713436072831505,244.019665178902
1.717852911561497,218.633735768312
1.721846857017832,197.6995191754883
1.72548578022766,180.1268790133736
1.728822110419983,165.1485096685001
1.731897260187486,152.2200657114316
1.734744492337243,140.9381323511159
1.737390970140708,131.0001338209969
1.739859180663632,122.1765430612871
1.742167963771004,114.284878099772
1.744333283982056,107.1834576305466
1.74636879040138,100.7576685141976
1.748286260393605,94.91438970329131
1.750095934883177,89.57897681278703
1.751806785698418,84.68720004165296
1.753426696078829,80.18564401599323
1.75496268398019,76.03147714883585
1.756420988589644,72.18579303410463
1.757807189394637,68.61700846414932
1.759126317272354,65.296895243894
1.760382907941811,62.20130033942424
1.761581080869002,59.30961920554294
1.762724555984774,56.60179465366669
1.763816770046767,54.06465013329829
1.764860838218411,51.68142617780078
1.765859630592113,49.44027193851197
1.76681578546035,47.32971330742659
1.767731736969812,45.33942062767414
1.768609735357503,43.46096365168902
1.769451865183627,41.68546807856625
