"dB20(v(""/net6"" ?result ""ac"")) X","dB20(v(""/net6"" ?result ""ac"")) Y","phase(v(""/net6"" ?result ""ac"")) Y"
13899.52631,-9.170886254,0.000433935
13931.56803,-9.170886254,0.000434936
13963.68361,-9.170886254,0.000435938
13995.87323,-9.170886254,0.000436943
14028.13705,-9.170886254,0.000437951
14060.47524,-9.170886254,0.00043896
14092.88798,-9.170886254,0.000439972
14125.37545,-9.170886254,0.000440986
14157.9378,-9.170886254,0.000442003
14190.57522,-9.170886254,0.000443022
14223.28787,-9.170886254,0.000444043
14256.07594,-9.170886254,0.000445067
14288.93959,-9.170886254,0.000446093
14321.87899,-9.170886254,0.000447121
14354.89433,-9.170886254,0.000448152
14387.98578,-9.170886254,0.000449185
14421.15352,-9.170886254,0.00045022
14454.39771,-9.170886254,0.000451258
14487.71854,-9.170886254,0.000452298
14521.11618,-9.170886254,0.000453341
14554.59081,-9.170886254,0.000454386
14588.1426,-9.170886254,0.000455434
14621.77174,-9.170886254,0.000456483
14655.47841,-9.170886254,0.000457536
14689.26278,-9.170886254,0.00045859
14723.12502,-9.170886254,0.000459648
14757.06533,-9.170886254,0.000460707
14791.08388,-9.170886254,0.000461769
14825.18085,-9.170886254,0.000462834
14859.35642,-9.170886254,0.000463901
14893.61078,-9.170886254,0.00046497
14927.9441,-9.170886254,0.000466042
14962.35656,-9.170886254,0.000467116
14996.84836,-9.170886254,0.000468193
15031.41966,-9.170886254,0.000469272
15066.07066,-9.170886254,0.000470354
15100.80154,-9.170886254,0.000471438
15135.61248,-9.170886254,0.000472525
15170.50367,-9.170886254,0.000473615
15205.4753,-9.170886254,0.000474706
15240.52754,-9.170886254,0.000475801
15275.66058,-9.170886254,0.000476897
15310.87462,-9.170886254,0.000477997
15346.16983,-9.170886254,0.000479099
15381.5464,-9.170886254,0.000480203
15417.00453,-9.170886254,0.00048131
15452.5444,-9.170886254,0.00048242
15488.16619,-9.170886254,0.000483532
15523.8701,-9.170886254,0.000484646
15559.65632,-9.170886254,0.000485764
15595.52503,-9.170886254,0.000486883
15631.47643,-9.170886254,0.000488006
15667.5107,-9.170886254,0.000489131
15703.62804,-9.170886254,0.000490258
15739.82864,-9.170886254,0.000491389
15776.1127,-9.170886254,0.000492521
15812.48039,-9.170886254,0.000493657
15848.93192,-9.170886254,0.000494795
15885.46749,-9.170886254,0.000495935
15922.08727,-9.170886254,0.000497079
15958.79147,-9.170886254,0.000498224
15995.58029,-9.170886254,0.000499373
16032.45391,-9.170886254,0.000500524
16069.41253,-9.170886254,0.000501678
16106.45635,-9.170886254,0.000502834
16143.58557,-9.170886254,0.000503994
16180.80038,-9.170886254,0.000505155
16218.10097,-9.170886254,0.00050632
16255.48756,-9.170886254,0.000507487
16292.96033,-9.170886254,0.000508657
16330.51948,-9.170886254,0.00050983
16368.16521,-9.170886254,0.000511005
16405.89773,-9.170886254,0.000512183
16443.71723,-9.170886254,0.000513364
16481.62392,-9.170886254,0.000514547
16519.61798,-9.170886254,0.000515733
16557.69963,-9.170886254,0.000516922
16595.86907,-9.170886254,0.000518114
16634.1265,-9.170886254,0.000519308
16672.47213,-9.170886254,0.000520505
16710.90614,-9.170886254,0.000521705
16749.42876,-9.170886254,0.000522908
16788.04018,-9.170886254,0.000524113
16826.74061,-9.170886254,0.000525321
16865.53025,-9.170886254,0.000526532
16904.40932,-9.170886254,0.000527746
16943.378,-9.170886254,0.000528963
16982.43652,-9.170886254,0.000530182
17021.58508,-9.170886254,0.000531404
17060.82389,-9.170886254,0.000532629
17100.15315,-9.170886254,0.000533857
17139.57308,-9.170886254,0.000535088
17179.08387,-9.170886254,0.000536321
17218.68575,-9.170886254,0.000537558
17258.37892,-9.170886254,0.000538797
17298.16359,-9.170886254,0.000540039
17338.03998,-9.170886254,0.000541284
17378.00829,-9.170886254,0.000542532
17418.06873,-9.170886254,0.000543782
17458.22153,-9.170886254,0.000545036
17498.46689,-9.170886254,0.000546292
17538.80502,-9.170886254,0.000547552
17579.23614,-9.170886254,0.000548814
17619.76046,-9.170886254,0.000550079
17660.37821,-9.170886254,0.000551347
17701.08958,-9.170886254,0.000552618
17741.89481,-9.170886254,0.000553892
17782.7941,-9.170886253,0.000555169
17823.78767,-9.170886253,0.000556449
17864.87575,-9.170886253,0.000557731
17906.05854,-9.170886253,0.000559017
17947.33627,-9.170886253,0.000560306
17988.70915,-9.170886253,0.000561597
18030.17741,-9.170886253,0.000562892
18071.74126,-9.170886253,0.00056419
18113.40093,-9.170886253,0.00056549
18155.15663,-9.170886253,0.000566794
18197.00859,-9.170886253,0.0005681
18238.95702,-9.170886253,0.00056941
18281.00216,-9.170886253,0.000570723
18323.14422,-9.170886253,0.000572038
18365.38343,-9.170886253,0.000573357
18407.72001,-9.170886253,0.000574679
18450.15419,-9.170886253,0.000576003
18492.68619,-9.170886253,0.000577331
18535.31623,-9.170886253,0.000578662
18578.04455,-9.170886253,0.000579996
18620.87137,-9.170886253,0.000581333
18663.79691,-9.170886253,0.000582673
18706.8214,-9.170886253,0.000584016
18749.94508,-9.170886253,0.000585363
18793.16817,-9.170886253,0.000586712
18836.49089,-9.170886253,0.000588065
18879.91349,-9.170886253,0.00058942
18923.43619,-9.170886253,0.000590779
18967.05921,-9.170886253,0.000592141
19010.7828,-9.170886253,0.000593506
19054.60718,-9.170886253,0.000594874
19098.53259,-9.170886253,0.000596245
19142.55925,-9.170886253,0.00059762
19186.68741,-9.170886253,0.000598998
19230.91729,-9.170886253,0.000600378
19275.24913,-9.170886253,0.000601762
19319.68317,-9.170886253,0.00060315
19364.21964,-9.170886253,0.00060454
19408.85878,-9.170886253,0.000605934
19453.60082,-9.170886253,0.00060733
19498.446,-9.170886253,0.00060873
19543.39456,-9.170886253,0.000610134
19588.44674,-9.170886253,0.00061154
19633.60277,-9.170886253,0.00061295
19678.8629,-9.170886253,0.000614363
19724.22736,-9.170886253,0.000615779
19769.6964,-9.170886253,0.000617199
19815.27026,-9.170886253,0.000618622
19860.94917,-9.170886253,0.000620048
19906.73339,-9.170886253,0.000621477
19952.62315,-9.170886253,0.00062291
19998.6187,-9.170886253,0.000624346
20044.72027,-9.170886253,0.000625785
20090.92813,-9.170886253,0.000627227
20137.2425,-9.170886253,0.000628673
20183.66364,-9.170886253,0.000630123
20230.19179,-9.170886253,0.000631575
20276.8272,-9.170886253,0.000633031
20323.57011,-9.170886253,0.00063449
20370.42078,-9.170886253,0.000635953
20417.37945,-9.170886253,0.000637419
20464.44637,-9.170886253,0.000638888
20511.62179,-9.170886253,0.000640361
20558.90596,-9.170886253,0.000641837
20606.29913,-9.170886253,0.000643317
20653.80156,-9.170886253,0.0006448
20701.41349,-9.170886253,0.000646286
20749.13517,-9.170886253,0.000647776
20796.96687,-9.170886253,0.00064927
20844.90883,-9.170886253,0.000650766
20892.96131,-9.170886253,0.000652266
20941.12456,-9.170886253,0.00065377
20989.39884,-9.170886253,0.000655277
21037.7844,-9.170886253,0.000656788
21086.2815,-9.170886253,0.000658302
21134.8904,-9.170886253,0.000659819
21183.61135,-9.170886253,0.00066134
21232.44462,-9.170886253,0.000662865
21281.39046,-9.170886253,0.000664393
21330.44913,-9.170886253,0.000665925
21379.6209,-9.170886253,0.00066746
21428.90601,-9.170886253,0.000668998
21478.30474,-9.170886253,0.000670541
21527.81735,-9.170886253,0.000672086
21577.44409,-9.170886253,0.000673636
21627.18524,-9.170886253,0.000675188
21677.04105,-9.170886253,0.000676745
21727.01179,-9.170886253,0.000678305
21777.09772,-9.170886253,0.000679869
21827.29912,-9.170886253,0.000681436
21877.61624,-9.170886253,0.000683007
21928.04935,-9.170886253,0.000684581
21978.59873,-9.170886253,0.000686159
22029.26463,-9.170886253,0.000687741
22080.04733,-9.170886253,0.000689327
22130.9471,-9.170886253,0.000690916
22181.9642,-9.170886253,0.000692508
22233.09891,-9.170886253,0.000694105
22284.35149,-9.170886253,0.000695705
22335.72223,-9.170886253,0.000697309
22387.21139,-9.170886253,0.000698916
22438.81924,-9.170886253,0.000700527
22490.54606,-9.170886253,0.000702142
22542.39212,-9.170886253,0.000703761
22594.3577,-9.170886253,0.000705383
22646.44308,-9.170886253,0.000707009
22698.64852,-9.170886253,0.000708639
22750.97431,-9.170886253,0.000710273
22803.42072,-9.170886253,0.00071191
22855.98803,-9.170886253,0.000713551
22908.67653,-9.170886253,0.000715196
22961.48648,-9.170886253,0.000716845
23014.41817,-9.170886253,0.000718497
23067.47189,-9.170886253,0.000720153
23120.6479,-9.170886253,0.000721814
23173.9465,-9.170886253,0.000723478
23227.36796,-9.170886253,0.000725145
23280.91258,-9.170886252,0.000726817
23334.58062,-9.170886252,0.000728492
23388.37239,-9.170886252,0.000730172
23442.28815,-9.170886252,0.000731855
23496.32821,-9.170886252,0.000733542
23550.49284,-9.170886252,0.000735233
23604.78233,-9.170886252,0.000736928
23659.19697,-9.170886252,0.000738627
23713.73706,-9.170886252,0.000740329
23768.40287,-9.170886252,0.000742036
23823.19469,-9.170886252,0.000743747
23878.11283,-9.170886252,0.000745461
23933.15756,-9.170886252,0.00074718
23988.32919,-9.170886252,0.000748902
24043.628,-9.170886252,0.000750628
24099.05429,-9.170886252,0.000752359
24154.60834,-9.170886252,0.000754093
24210.29047,-9.170886252,0.000755832
24266.10095,-9.170886252,0.000757574
24322.04009,-9.170886252,0.00075932
24378.10818,-9.170886252,0.000761071
24434.30553,-9.170886252,0.000762825
24490.63242,-9.170886252,0.000764584
24547.08916,-9.170886252,0.000766346
24603.67604,-9.170886252,0.000768113
24660.39337,-9.170886252,0.000769884
24717.24145,-9.170886252,0.000771658
24774.22058,-9.170886252,0.000773437
24831.33105,-9.170886252,0.00077522
24888.57318,-9.170886252,0.000777007
24945.94727,-9.170886252,0.000778798
25003.45362,-9.170886252,0.000780594
25061.09253,-9.170886252,0.000782393
25118.86432,-9.170886252,0.000784197
25176.76928,-9.170886252,0.000786004
25234.80772,-9.170886252,0.000787816
25292.97996,-9.170886252,0.000789633
25351.2863,-9.170886252,0.000791453
25409.72706,-9.170886252,0.000793277
25468.30253,-9.170886252,0.000795106
25527.01303,-9.170886252,0.000796939
25585.85887,-9.170886252,0.000798776
25644.84037,-9.170886252,0.000800617
25703.95783,-9.170886252,0.000802463
25763.21157,-9.170886252,0.000804313
25822.60191,-9.170886252,0.000806167
25882.12915,-9.170886252,0.000808025
25941.79362,-9.170886252,0.000809888
26001.59563,-9.170886252,0.000811755
26061.5355,-9.170886252,0.000813626
26121.61354,-9.170886252,0.000815502
26181.83008,-9.170886252,0.000817382
26242.18543,-9.170886252,0.000819266
26302.67992,-9.170886252,0.000821155
26363.31386,-9.170886252,0.000823048
26424.08757,-9.170886252,0.000824945
26485.00139,-9.170886252,0.000826847
26546.05562,-9.170886252,0.000828753
26607.2506,-9.170886252,0.000830663
26668.58665,-9.170886252,0.000832578
26730.06409,-9.170886252,0.000834497
26791.68325,-9.170886252,0.000836421
26853.44446,-9.170886252,0.000838349
26915.34804,-9.170886252,0.000840282
26977.39432,-9.170886252,0.000842219
27039.58364,-9.170886252,0.000844161
27101.91632,-9.170886252,0.000846106
27164.39269,-9.170886252,0.000848057
27227.01308,-9.170886252,0.000850012
27289.77783,-9.170886252,0.000851971
27352.68726,-9.170886252,0.000853935
27415.74172,-9.170886252,0.000855904
27478.94153,-9.170886252,0.000857877
27542.28703,-9.170886252,0.000859855
27605.77856,-9.170886252,0.000861837
27669.41645,-9.170886251,0.000863824
27733.20105,-9.170886251,0.000865815
27797.13268,-9.170886251,0.000867811
27861.21169,-9.170886251,0.000869811
27925.43841,-9.170886251,0.000871816
27989.8132,-9.170886251,0.000873826
28054.33638,-9.170886251,0.000875841
28119.0083,-9.170886251,0.00087786
28183.82931,-9.170886251,0.000879883
28248.79975,-9.170886251,0.000881912
28313.91996,-9.170886251,0.000883945
28379.19028,-9.170886251,0.000885982
