Diff_Out_Magnitude X,Diff_Out_Magnitude Y
1000,79.6360071100849
1059.253725177289,79.63240391844941
1122.018454301964,79.6280795683644
1188.502227437019,79.62296438178514
1258.925411794168,79.61698102427876
1333.521432163324,79.61004339519513
1412.537544622755,79.6020554517894
1496.235656094434,79.59290996648299
1584.893192461114,79.5824872162021
1678.804018122561,79.57065360339899
1778.279410038923,79.55726020786193
1883.649089489801,79.54214127322642
1995.26231496888,79.52511263111427
2113.489039836647,79.50597007416859
2238.72113856834,79.48448769115171
2371.373705661656,79.46041618580092
2511.886431509581,79.43348120762593
2660.72505979881,79.40338173324916
2818.382931264455,79.36978854577762
2985.382618917961,79.33234287262403
3162.27766016838,79.29065525383898
3349.654391578278,79.244304725322
3548.133892335756,79.19283841598245
3758.374042884443,79.13577166680676
3981.071705534974,79.07258879082494
4216.965034285824,79.00274459749417
4466.835921509632,78.92566680544221
4731.512589614807,78.84075945797034
5011.872336272725,78.74740744074114
5308.844442309886,78.64498217052312
5623.413251903494,78.53284848375333
5956.621435290108,78.41037270021599
6309.573444801936,78.27693177090785
6683.43917568615,78.13192334590214
7079.457843841383,77.97477651884935
7498.942093324562,77.80496292678473
7943.282347242819,77.62200781756138
8413.951416451955,77.4255006454076
8912.509381337461,77.2151047307752
9440.60876285924,76.9905655272307
10000.00000000001,76.75171707955172
10592.53725177289,76.49848633300748
11220.18454301964,76.23089506070555
11885.02227437019,75.94905930240819
12589.25411794168,75.65318634636667
13335.21432163325,75.34356942011974
14125.37544622755,75.02058037480384
14962.35656094434,74.68466074162026
15848.93192461114,74.33631159948803
16788.04018122561,73.97608271825565
17782.79410038924,73.60456143418681
18836.49089489802,73.22236167620994
19952.62314968881,72.83011350287326
21134.89039836648,72.42845343617711
22387.21138568341,72.01801580010654
23713.73705661657,71.59942519409597
25118.86431509582,71.1732901607845
26607.25059798811,70.74019804738637
28183.82931264456,70.30071101189803
29853.82618917962,69.85536308992933
31622.77660168382,69.40465821482653
33496.54391578279,68.94906907061873
35481.33892335757,68.48903665309636
37583.74042884444,68.02497041686493
39810.71705534976,67.55724889308989
42169.65034285826,67.08622067313665
44668.35921509634,66.61220566513785
47315.12589614809,66.13549654333193
50118.72336272727,65.65636032235784
53088.44442309887,65.17504000067684
56234.13251903495,64.69175622802615
59566.21435290109,64.20670896142981
63095.73444801938,63.72007908261491
66834.39175686151,63.23202995676244
70794.57843841385,62.74270891838619
74989.42093324565,62.25224867499493
79432.82347242822,61.76076862302877
84139.51416451958,61.26837607362844
89125.09381337464,60.77516738814261
94406.08762859243,60.28122902505701
100000.0000000001,59.78663850130187
105925.372517729,59.2914652718197
112201.8454301965,58.79577153184881
118850.222743702,58.29961294673642
125892.5411794169,57.80303931425738
133352.1432163326,57.30609516442214
141253.7544622756,56.80882030167965
149623.5656094435,56.31125029425199
158489.3192461116,55.81341691511925
167880.4018122563,55.31534853893081
177827.9410038925,54.81707049883673
188364.9089489803,54.3186054069628
199526.2314968882,53.81997344197447
211348.903983665,53.32119260689475
223872.1138568343,52.82227896007964
237137.3705661659,52.32324682200831
251188.6431509584,51.82410896029508
266072.5059798813,51.32487675512521
281838.2931264458,50.82556034709305
298538.2618917964,50.32616876923914
316227.7660168384,49.82671006491237
334965.4391578281,49.32719139290579
354813.389233576,48.82761912118074
375837.4042884447,48.32799891036265
398107.1705534979,47.82833578805162
421696.5034285829,47.32863421489976
446683.5921509638,46.82889814329699
473151.2589614813,46.32913106941601
501187.2336272731,45.82933607928293
530884.4442309892,45.32951588947766
562341.3251903499,44.82967288297638
595662.1435290114,44.32980914061608
630957.3444801943,43.82992646857908
668343.9175686156,43.33002642225854
707945.784384139,42.83011032682151
749894.2093324569,42.33017929472969
794328.2347242826,41.83023424045342
841395.1416451962,41.330275892571
891250.9381337467,40.83030480340593
944060.8762859247,40.33032135633937
1000000.000000001,39.83032577088072
1059253.72517729,39.33031810557596
1122018.454301965,38.83029825878145
1188502.22743702,38.33026596731851
1258925.411794169,37.83022080299168
1333521.432163326,37.33016216692133
1412537.544622756,36.83008928162044
1496235.656094436,36.33000118070807
1584893.192461116,35.82989669612628
1678804.018122563,35.32977444269404
1778279.410038925,34.82963279979351
1883649.089489803,34.32946988995164
1995262.314968882,33.82928355403499
2113489.03983665,33.32907132273782
2238721.138568343,32.82883038398802
2371373.705661659,32.32855754585214
2511886.431509584,31.82824919445469
2660725.059798813,31.3279012463714
2818382.931264458,30.82750909488072
2985382.618917964,30.32706754938477
3162277.660168384,29.82657076722424
3349654.391578281,29.32601217701968
3548133.892335759,28.8253843925674
3758374.042884447,28.32467911620571
3981071.705534978,27.82388703044128
4216965.034285828,27.32299767648984
4466835.921509637,26.82199931823309
4731512.589614811,26.32087878993158
5011872.33627273,25.81962132585323
5308844.442309891,25.31821036978384
5623413.251903499,24.81662736217685
5956621.435290113,24.31485150247483
6309573.444801942,23.81285948389707
6683439.175686155,23.31062519773453
7079457.843841389,22.80811940393097
7498942.093324569,22.30530936445795
7943282.347242827,21.80215843571751
8413951.416451963,21.29862561593691
8912509.381337468,20.79466504326314
9440608.762859248,20.29022544003331
10000000.00000001,19.78524949850712
10592537.2517729,19.27967320321887
11220184.54301965,18.77342508506512
11885022.2743702,18.26642540232255
12589254.11794169,17.75858524402945
13335214.32163326,17.24980555161137
14125375.44622757,16.73997605534825
14962356.56094436,16.22897412333491
15848931.92461116,15.71666352206546
16788040.18122563,15.20289308976763
17782794.10038926,14.68749532623522
18836490.89489803,14.17028490627478
19952623.14968883,13.65105712812094
