Input_Referred_Noise_PSD X,Input_Referred_Noise_PSD Y
473151258.9614815,5.619922795926345e-17
501187233.6272734,5.092216820725601e-17
530884444.2309895,4.606286640781893e-17
562341325.1903503,4.16015862632609e-17
595662143.5290117,3.751708936141965e-17
630957344.4801946,3.37871901182998e-17
668343917.568616,3.03892414231645e-17
707945784.3841394,2.730054837696378e-17
749894209.3324574,2.449871103622332e-17
794328234.7242832,2.196189974004975e-17
841395141.6451969,1.966906845639805e-17
891250938.1337475,1.760011273176835e-17
944060876.2859254,1.573597938708825e-17
1000000000.000002,1.405873519889487e-17
1059253725.177291,1.255160155957314e-17
1122018454.301966,1.119896162942203e-17
1188502227.437021,9.986345864779646e-18
1258925411.79417,8.900401099865837e-18
1333521432.163327,7.928847627905255e-18
1412537544.622757,7.060428007569569e-18
1496235656.094437,6.284850640474668e-18
1584893192.461117,5.592730542370953e-18
1678804018.122564,4.975529176308942e-18
1778279410.038927,4.425494737091911e-18
1883649089.489805,3.935603875397565e-18
1995262314.968884,3.499505526185729e-18
2113489039.836652,3.111467255267088e-18
2238721138.568345,2.766324353114472e-18
2371373705.661661,2.459431776709636e-18
2511886431.509586,2.18661895746961e-18
2660725059.798816,1.944147444642814e-18
2818382931.26446,1.728671328148926e-18
2985382618.917966,1.537200373292216e-18
3162277660.168386,1.367065794825218e-18
3349654391.578284,1.2158885944976e-18
3548133892.335763,1.081550381681328e-18
3758374042.88445,9.621665898811681e-19
3981071705.534981,8.560619931368334e-19
4216965034.285832,7.617484164356695e-19
4466835921.509642,6.779045244792976e-19
4731512589.614816,6.033575646080879e-19
5011872336.272735,5.370669332370812e-19
5308844442.309896,4.781094312993959e-19
5623413251.903504,4.25666073089339e-19
5956621435.290119,3.790103144259671e-19
6309573444.801948,3.374975698983319e-19
6683439175.686162,3.005558946708066e-19
7079457843.841396,2.67677713442895e-19
7498942093.324576,2.384124872067831e-19
7943282347.242834,2.123602170092136e-19
8413951416.451971,1.891656926505464e-19
8912509381.337477,1.685134028652052e-19
9440608762.859257,1.501230318176872e-19
10000000000.00002,1.33745474574386e-19
10592537251.77291,1.19159311485102e-19
11220184543.01966,1.061676880836517e-19
11885022274.37021,9.459555318171343e-20
12589254117.9417,8.42872132948296e-20
13335214321.63327,7.51041664314607e-20
14125375446.22758,6.692318263235296e-20
14962356560.94437,5.963460251106123e-20
15848931924.61118,5.314082846222797e-20
16788040181.22565,4.735498621697082e-20
17782794100.38927,4.219973707753019e-20
18836490894.89806,3.760622349651623e-20
19952623149.68885,3.351313271675995e-20
21134890398.36653,2.986586498955271e-20
22387211385.68346,2.661579447210976e-20
23713737056.61662,2.37196122962703e-20
25118864315.09587,2.113874252346606e-20
26607250597.98817,1.883882277675447e-20
28183829312.64462,1.678924228752454e-20
29853826189.17968,1.496273092838138e-20
31622776601.68388,1.333499353868853e-20
33496543915.78286,1.188438449751581e-20
35481338923.35764,1.059161807095321e-20
37583740428.84452,9.439510566202889e-21
39810717055.34984,8.412750771653324e-21
42169650342.85835,7.497695557351199e-21
44668359215.09644,6.68218786009459e-21
47315125896.14819,5.955394587180918e-21
50118723362.72737,5.307662247384731e-21
53088444423.09898,4.730388361155389e-21
56234132519.03506,4.215906917949536e-21
59566214352.90121,3.75738634023726e-21
63095734448.0195,3.34873858385016e-21
66834391756.86165,2.984538155442075e-21
70794578438.41399,2.659949962082873e-21
74989420933.24579,2.370665027320236e-21
79432823472.42838,2.112843214114735e-21
84139514164.51974,1.883062189374678e-21
89125093813.3748,1.67827194870999e-21
94406087628.59261,1.495754294657624e-21
100000000000,1.333086728038911e-21
