LoopGainMagnitude X,LoopGainMagnitude Y,Phase Margin X,Phase Margin Y
1000,68.96868374111592,1000,177.9421623677665
1047.1285480509,68.96611296148633,1047.1285480509,177.5144704488021
1096.478196143185,68.96301891224944,1096.478196143185,177.0817935422506
1148.153621496883,68.95937647795067,1148.153621496883,176.6432752413854
1202.264434617413,68.95515616126752,1202.264434617413,176.198053130925
1258.925411794168,68.95032387888163,1258.925411794168,175.7452581757007
1318.256738556408,68.94484072898403,1318.256738556408,175.284014222219
1380.384264602886,68.93866272924838,1380.384264602886,174.8134376335659
1445.439770745928,68.93174052616429,1445.439770745928,174.3326370788021
1513.561248436209,68.92401907482312,1513.561248436209,173.8407135017414
1584.893192461114,68.91543729022547,1584.893192461114,173.336760294819
1659.586907437562,68.90592766980889,1659.586907437562,172.8198637080247
1737.800828749377,68.89541588835019,1737.800828749377,172.2891035243735
1819.700858609985,68.88382036669253,1819.700858609985,171.7435540364315
1905.460717963249,68.87105181608619,1905.460717963249,171.1822853613823
1995.262314968882,68.85701276033097,1995.262314968882,170.6043651352075
2089.296130854042,68.84159703952039,2089.296130854042,170.0088606282405
2187.761623949555,68.82468929969679,2187.761623949555,169.3948413267977
2290.867652767776,68.8061644731338,2290.867652767776,168.761382028609
2398.832919019494,68.78588725722845,2398.832919019494,168.1075664976656
2511.886431509583,68.76371159903266,2511.886431509583,167.4324917274547
2630.267991895385,68.73948019591469,2630.267991895385,166.7352728578084
2754.22870333817,68.71302402379052,2754.22870333817,166.0150487882052
2884.03150312661,68.6841619066425,2884.03150312661,165.2709885255192
3019.951720402021,68.65270014254877,3019.951720402021,164.5022982968609
3162.277660168385,68.61843220467199,3162.277660168385,163.7082294462525
3311.311214825917,68.58113853650917,3311.311214825917,162.8880871221605
3467.368504525323,68.54058646375643,3467.368504525323,162.0412397434712
3630.780547701021,68.49653024591279,3630.780547701021,161.1671292119841
3801.89396320562,68.44871129366783,3801.89396320562,160.2652818106794
3981.071705534981,68.39685857735634,3981.071705534981,159.3353197000027
4168.693834703363,68.34068925338079,4168.693834703363,158.3769728875836
4365.158322401669,68.27990953394664,4365.158322401669,157.390091510022
4570.88189614876,68.21421582425893,4570.88189614876,156.3746582233541
4786.300923226395,68.14329614735635,4786.300923226395,155.3308004586353
5011.872336272735,68.06683187316813,5011.872336272735,154.2588022534532
5248.074602497739,67.98449976111725,5248.074602497739,153.1591153335573
5495.40873857626,67.89597431765947,5495.40873857626,152.0323690841319
5754.399373371584,67.8009304609526,5754.399373371584,150.8793790221898
6025.595860743593,67.69904647305954,6025.595860743593,149.7011533688876
6309.573444801949,67.59000720735385,6309.573444801949,148.498897322509
6606.934480075978,67.47350750640362,6606.934480075978,147.2740146475527
6918.309709189384,67.34925577152703,6918.309709189384,146.0281062376548
7244.359600749922,67.21697761260879,7244.359600749922,144.762965369244
