Vov,,,gm/Id,,,gm/gds,,,fT,,,Id/W,,,Vov,,,gm/Id,,,gm/gds,,,fT,,,Id/W,,
0.18u,0.36u,1u,0.18u,0.36u,1u,0.18u,0.36u,1u,0.18u,0.36u,1u,0.18u,0.36u,1u,0.18u,0.36u,1u,0.18u,0.36u,1u,0.18u,0.36u,1u,0.18u,0.36u,1u,0.18u,0.36u,1u
-0.115167626,-0.086155821,-0.032671716,2.51E+01,2.48E+01,2.38E+01,4.03E+01,7.54E+01,1.22E+02,255000000,128000000,62700000,1.25E-01,7.94E-02,8.39E-02,-0.140143171,-0.082806699,-0.034827367,2.42E+01,2.36E+01,2.29E+01,8.56E+01,1.03E+02,1.43E+02,4.73E+07,4.56E+07,1.74E+07,1.96E-02,2.58E-02,2.22E-02
-0.090167626,-0.061155821,-0.007671716,2.45E+01,2.42E+01,2.31E+01,4.00E+01,7.58E+01,1.23E+02,456000000,220000000,94700000,2.33E-01,1.47E-01,1.51E-01,-0.115143171,-0.057806699,-0.009827367,2.38E+01,2.31E+01,2.23E+01,8.51E+01,1.04E+02,1.45E+02,8.40E+07,7.61E+07,2.59E+07,3.57E-02,4.63E-02,3.91E-02
-0.065167626,-0.036155821,0.017328284,2.38E+01,2.36E+01,2.20E+01,3.98E+01,7.66E+01,1.25E+02,792000000,364000000,139000000,4.25E-01,2.67E-01,2.65E-01,-0.090143171,-0.032806699,0.015172633,2.33E+01,2.26E+01,2.14E+01,8.49E+01,1.05E+02,1.46E+02,1.46E+08,1.22E+08,3.76E+07,6.43E-02,8.20E-02,6.77E-02
-0.040167626,-0.011155821,0.042328284,2.31E+01,2.29E+01,2.05E+01,3.98E+01,7.77E+01,1.26E+02,1330000000,576000000,199000000,7.64E-01,4.78E-01,4.52E-01,-0.065143171,-0.007806699,0.040172633,2.29E+01,2.20E+01,2.02E+01,8.51E+01,1.07E+02,1.48E+02,2.49E+08,1.89E+08,5.37E+07,1.15E-01,1.43E-01,1.14E-01
-0.015167626,0.013844179,0.067328284,2.22E+01,2.18E+01,1.88E+01,3.99E+01,7.90E+01,1.27E+02,2130000000,877000000,279000000,1.35E+00,8.36E-01,7.39E-01,-0.040143171,0.017193301,0.065172633,2.25E+01,2.11E+01,1.86E+01,8.63E+01,1.09E+02,1.48E+02,4.15E+08,2.83E+08,7.48E+07,2.02E-01,2.46E-01,1.85E-01
0.009832374,0.038844179,0.092328284,2.10E+01,2.04E+01,1.68E+01,4.00E+01,8.02E+01,1.27E+02,3270000000,1290000000,376000000,2.31E+00,1.42E+00,1.15E+00,-0.015143171,0.042193301,0.090172633,2.19E+01,1.98E+01,1.68E+01,8.75E+01,1.11E+02,1.47E+02,6.68E+08,4.14E+08,1.01E+08,3.52E-01,4.10E-01,2.88E-01
0.034832374,0.063844179,0.117328284,1.95E+01,1.86E+01,1.49E+01,4.00E+01,8.10E+01,1.27E+02,4790000000,1820000000,486000000,3.83E+00,2.31E+00,1.72E+00,0.009856829,0.067193301,0.115172633,2.11E+01,1.82E+01,1.50E+01,8.89E+01,1.11E+02,1.45E+02,1.04E+09,5.82E+08,1.31E+08,6.02E-01,6.61E-01,4.28E-01
0.059832374,0.088844179,0.142328284,1.77E+01,1.67E+01,1.31E+01,3.98E+01,8.13E+01,1.26E+02,6680000000,2460000000,601000000,6.10E+00,3.59E+00,2.43E+00,0.034856829,0.092193301,0.140172633,1.99E+01,1.65E+01,1.32E+01,8.96E+01,1.10E+02,1.41E+02,1.57E+09,7.88E+08,1.62E+08,1.01E+00,1.02E+00,6.09E-01
0.084832374,0.113844179,0.167328284,1.58E+01,1.47E+01,1.16E+01,3.93E+01,8.10E+01,1.25E+02,8860000000,3170000000,716000000,9.27E+00,5.31E+00,3.31E+00,0.059856829,0.117193301,0.165172633,1.85E+01,1.47E+01,1.17E+01,8.90E+01,1.07E+02,1.37E+02,2.26E+09,1.02E+09,1.94E+08,1.63E+00,1.50E+00,8.31E-01
0.109832374,0.138844179,0.192328284,1.39E+01,1.29E+01,1.02E+01,3.85E+01,8.02E+01,1.23E+02,11200000000,3890000000,827000000,1.34E+01,7.49E+00,4.35E+00,0.084856829,0.142193301,0.190172633,1.68E+01,1.29E+01,1.03E+01,8.66E+01,1.03E+02,1.32E+02,3.12E+09,1.26E+09,2.24E+08,2.53E+00,2.12E+00,1.09E+00
0.134832374,0.163844179,0.217328284,1.21E+01,1.13E+01,9.06E+00,3.74E+01,7.90E+01,1.21E+02,13400000000,4590000000,933000000,1.86E+01,1.01E+01,5.53E+00,0.109856829,0.167193301,0.215172633,1.50E+01,1.14E+01,9.12E+00,8.29E+01,9.76E+01,1.26E+02,4.09E+09,1.49E+09,2.53E+08,3.76E+00,2.88E+00,1.39E+00
0.159832374,0.188844179,0.242328284,1.05E+01,9.93E+00,8.10E+00,3.62E+01,7.75E+01,1.19E+02,15400000000,5240000000,1030000000,2.46E+01,1.32E+01,6.85E+00,0.134856829,0.192193301,0.240172633,1.32E+01,1.00E+01,8.13E+00,7.78E+01,9.21E+01,1.21E+02,5.09E+09,1.71E+09,2.79E+08,5.35E+00,3.76E+00,1.73E+00
0.184832374,0.213844179,0.267328284,9.19E+00,8.77E+00,7.31E+00,3.49E+01,7.58E+01,1.17E+02,17100000000,5840000000,1130000000,3.15E+01,1.67E+01,8.30E+00,0.159856829,0.217193301,0.265172633,1.16E+01,8.88E+00,7.30E+00,7.21E+01,8.60E+01,1.16E+02,6.07E+09,1.92E+09,3.04E+08,7.30E+00,4.76E+00,2.09E+00
0.209832374,0.238844179,0.292328284,8.06E+00,7.79E+00,6.64E+00,3.36E+01,7.40E+01,1.15E+02,18600000000,6380000000,1220000000,3.91E+01,2.05E+01,9.87E+00,0.184856829,0.242193301,0.290172633,1.02E+01,7.91E+00,6.61E+00,6.60E+01,8.03E+01,1.12E+02,6.98E+09,2.10E+09,3.27E+08,9.58E+00,5.87E+00,2.49E+00
0.234832374,0.263844179,0.317328284,7.11E+00,6.98E+00,6.08E+00,3.23E+01,7.21E+01,1.12E+02,19900000000,6870000000,1310000000,4.72E+01,2.47E+01,1.16E+01,0.209856829,0.267193301,0.315172633,8.97E+00,7.09E+00,6.03E+00,6.02E+01,7.47E+01,1.07E+02,7.79E+09,2.27E+09,3.49E+08,1.22E+01,7.08E+00,2.92E+00
0.259832374,0.288844179,0.342328284,6.33E+00,6.31E+00,5.60E+00,3.11E+01,7.02E+01,1.10E+02,20900000000,7330000000,1400000000,5.59E+01,2.91E+01,1.34E+01,0.234856829,0.292193301,0.340172633,7.93E+00,6.41E+00,5.55E+00,5.47E+01,6.96E+01,1.03E+02,8.51E+09,2.43E+09,3.71E+08,1.50E+01,8.38E+00,3.37E+00
0.284832374,0.313844179,0.367328284,5.68E+00,5.74E+00,5.20E+00,2.99E+01,6.83E+01,1.08E+02,21800000000,7750000000,1480000000,6.49E+01,3.38E+01,1.53E+01,0.259856829,0.317193301,0.365172633,7.07E+00,5.84E+00,5.13E+00,4.96E+01,6.48E+01,9.88E+01,9.14E+09,2.58E+09,3.92E+08,1.81E+01,9.76E+00,3.85E+00
0.309832374,0.338844179,0.392328284,5.14E+00,5.26E+00,4.84E+00,2.89E+01,6.63E+01,1.05E+02,22500000000,8150000000,1570000000,7.43E+01,3.88E+01,1.74E+01,0.284856829,0.342193301,0.390172633,6.34E+00,5.35E+00,4.77E+00,4.50E+01,6.05E+01,9.45E+01,9.70E+09,2.72E+09,4.13E+08,2.14E+01,1.12E+01,4.36E+00
0.334832374,0.363844179,0.417328284,4.68E+00,4.85E+00,4.54E+00,2.79E+01,6.44E+01,1.03E+02,23200000000,8530000000,1650000000,8.39E+01,4.41E+01,1.95E+01,0.309856829,0.367193301,0.415172633,5.74E+00,4.94E+00,4.46E+00,4.08E+01,5.64E+01,9.09E+01,1.02E+10,2.86E+09,4.33E+08,2.49E+01,1.28E+01,4.89E+00
0.359832374,0.388844179,0.442328284,4.29E+00,4.50E+00,4.26E+00,2.70E+01,6.25E+01,1.00E+02,23800000000,8880000000,1730000000,9.39E+01,4.95E+01,2.18E+01,0.334856829,0.392193301,0.440172633,5.23E+00,4.59E+00,4.19E+00,3.73E+01,5.28E+01,8.72E+01,1.07E+10,2.99E+09,4.54E+08,2.86E+01,1.44E+01,5.45E+00
0.384832374,0.413844179,0.467328284,3.96E+00,4.19E+00,4.02E+00,2.62E+01,6.06E+01,9.75E+01,24300000000,9230000000,1810000000,1.04E+02,5.52E+01,2.42E+01,0.359856829,0.417193301,0.465172633,4.80E+00,4.28E+00,3.95E+00,3.42E+01,4.94E+01,8.40E+01,1.11E+10,3.11E+09,4.74E+08,3.24E+01,1.61E+01,6.03E+00
0.409832374,0.438844179,0.492328284,3.67E+00,3.92E+00,3.81E+00,2.54E+01,5.87E+01,9.49E+01,24800000000,9550000000,1890000000,1.14E+02,6.11E+01,2.67E+01,0.384856829,0.442193301,0.490172633,4.43E+00,4.02E+00,3.74E+00,3.14E+01,4.64E+01,8.07E+01,1.15E+10,3.24E+09,4.94E+08,3.63E+01,1.78E+01,6.64E+00
0.434832374,0.463844179,0.517328284,3.42E+00,3.68E+00,3.61E+00,2.47E+01,5.68E+01,9.21E+01,25300000000,9860000000,1970000000,1.25E+02,6.72E+01,2.93E+01,0.409856829,0.467193301,0.515172633,4.11E+00,3.78E+00,3.55E+00,2.89E+01,4.35E+01,7.74E+01,1.19E+10,3.36E+09,5.14E+08,4.04E+01,1.96E+01,7.28E+00
0.459832374,0.488844179,0.542328284,3.20E+00,3.47E+00,3.44E+00,2.40E+01,5.49E+01,8.93E+01,25700000000,10200000000,2050000000,1.36E+02,7.34E+01,3.19E+01,0.434856829,0.492193301,0.540172633,3.84E+00,3.57E+00,3.38E+00,2.68E+01,4.10E+01,7.41E+01,1.22E+10,3.48E+09,5.33E+08,4.46E+01,2.15E+01,7.93E+00
0.484832374,0.513844179,0.567328284,3.00E+00,3.28E+00,3.27E+00,2.33E+01,5.30E+01,8.64E+01,26000000000,10400000000,2120000000,1.47E+02,7.99E+01,3.47E+01,0.459856829,0.517193301,0.565172633,3.60E+00,3.38E+00,3.23E+00,2.48E+01,3.86E+01,7.13E+01,1.26E+10,3.60E+09,5.53E+08,4.90E+01,2.35E+01,8.62E+00
0.509832374,0.538844179,0.592328284,2.82E+00,3.10E+00,3.13E+00,2.27E+01,5.11E+01,8.33E+01,26400000000,10700000000,2190000000,1.58E+02,8.65E+01,3.76E+01,0.484856829,0.542193301,0.590172633,3.38E+00,3.22E+00,3.09E+00,2.30E+01,3.63E+01,6.86E+01,1.29E+10,3.71E+09,5.72E+08,5.34E+01,2.55E+01,9.33E+00
0.534832374,0.563844179,0.617328284,2.67E+00,2.94E+00,2.99E+00,2.21E+01,4.92E+01,8.02E+01,26700000000,11000000000,2260000000,1.69E+02,9.33E+01,4.06E+01,0.509856829,0.567193301,0.615172633,3.19E+00,3.06E+00,2.96E+00,2.14E+01,3.41E+01,6.56E+01,1.32E+10,3.83E+09,5.91E+08,5.80E+01,2.76E+01,1.01E+01
0.559832374,0.588844179,0.642328284,2.52E+00,2.80E+00,2.86E+00,2.15E+01,4.74E+01,7.71E+01,26900000000,11200000000,2330000000,1.80E+02,1.00E+02,4.37E+01,0.534856829,0.592193301,0.640172633,3.02E+00,2.92E+00,2.84E+00,2.00E+01,3.22E+01,6.27E+01,1.35E+10,3.94E+09,6.11E+08,6.27E+01,2.97E+01,1.08E+01
0.584832374,0.613844179,0.667328284,2.39E+00,2.67E+00,2.74E+00,2.09E+01,4.55E+01,7.38E+01,27100000000,11400000000,2400000000,1.92E+02,1.07E+02,4.69E+01,0.559856829,0.617193301,0.665172633,2.87E+00,2.80E+00,2.73E+00,1.87E+01,3.04E+01,6.00E+01,1.38E+10,4.04E+09,6.29E+08,6.75E+01,3.19E+01,1.16E+01
0.609832374,0.638844179,0.692328284,2.27E+00,2.54E+00,2.63E+00,2.03E+01,4.37E+01,7.05E+01,27300000000,11600000000,2460000000,2.03E+02,1.15E+02,5.01E+01,0.584856829,0.642193301,0.690172633,2.73E+00,2.68E+00,2.63E+00,1.74E+01,2.86E+01,5.74E+01,1.41E+10,4.15E+09,6.48E+08,7.23E+01,3.42E+01,1.24E+01
0.634832374,0.663844179,0.717328284,2.16E+00,2.43E+00,2.53E+00,1.97E+01,4.18E+01,6.71E+01,27500000000,11800000000,2520000000,2.15E+02,1.22E+02,5.35E+01,0.609856829,0.667193301,0.715172633,2.60E+00,2.57E+00,2.54E+00,1.64E+01,2.71E+01,5.48E+01,1.43E+10,4.25E+09,6.66E+08,7.73E+01,3.65E+01,1.32E+01
0.659832374,0.688844179,0.742328284,2.06E+00,2.32E+00,2.43E+00,1.92E+01,4.00E+01,6.36E+01,27700000000,12000000000,2580000000,2.27E+02,1.29E+02,5.69E+01,0.634856829,0.692193301,0.740172633,2.48E+00,2.47E+00,2.45E+00,1.53E+01,2.56E+01,5.22E+01,1.46E+10,4.35E+09,6.85E+08,8.24E+01,3.89E+01,1.41E+01
0.684832374,0.713844179,0.767328284,1.97E+00,2.22E+00,2.34E+00,1.86E+01,3.82E+01,6.02E+01,27800000000,12200000000,2640000000,2.38E+02,1.37E+02,6.04E+01,0.659856829,0.717193301,0.765172633,2.37E+00,2.38E+00,2.37E+00,1.44E+01,2.42E+01,4.95E+01,1.48E+10,4.45E+09,7.03E+08,8.75E+01,4.13E+01,1.49E+01
0.709832374,0.738844179,0.792328284,1.88E+00,2.13E+00,2.26E+00,1.81E+01,3.64E+01,5.66E+01,27900000000,12300000000,2690000000,2.50E+02,1.45E+02,6.40E+01,0.684856829,0.742193301,0.790172633,2.27E+00,2.29E+00,2.29E+00,1.35E+01,2.28E+01,4.71E+01,1.50E+10,4.54E+09,7.20E+08,9.28E+01,4.38E+01,1.58E+01
0.734832374,0.763844179,0.817328284,1.80E+00,2.05E+00,2.18E+00,1.76E+01,3.46E+01,5.31E+01,27900000000,12400000000,2740000000,2.62E+02,1.52E+02,6.76E+01,0.709856829,0.767193301,0.815172633,2.18E+00,2.21E+00,2.22E+00,1.27E+01,2.16E+01,4.45E+01,1.52E+10,4.63E+09,7.38E+08,9.81E+01,4.63E+01,1.68E+01
0.759832374,0.788844179,0.842328284,1.73E+00,1.97E+00,2.10E+00,1.71E+01,3.29E+01,4.96E+01,28000000000,12600000000,2790000000,2.74E+02,1.60E+02,7.13E+01,0.734856829,0.792193301,0.840172633,2.09E+00,2.13E+00,2.15E+00,1.19E+01,2.04E+01,4.19E+01,1.54E+10,4.72E+09,7.55E+08,1.03E+02,4.89E+01,1.77E+01
