M0:cdd (L=1.80e-07) Y,M0:cdd (L=3.60e-07) Y,M0:cdd (L=1.00e-06) Y,M0:cgb (L=1.80e-07) Y,M0:cgb (L=3.60e-07) Y,M0:cgb (L=1.00e-06) Y,M0:cgd (L=1.80e-07) Y,M0:cgd (L=3.60e-07) Y,M0:cgd (L=1.00e-06) Y,M0:cgg (L=1.80e-07) Y,M0:cgg (L=3.60e-07) Y,M0:cgg (L=1.00e-06) Y,M0:cgs (L=1.80e-07) Y,M0:cgs (L=3.60e-07) Y,M0:cgs (L=1.00e-06) Y,M0:cjd (L=1.80e-07) Y,M0:cjd (L=3.60e-07) Y,M0:cjd (L=1.00e-06) Y,M0:cjs (L=1.80e-07) Y,M0:cjs (L=3.60e-07) Y,M0:cjs (L=1.00e-06) Y,M0:css (L=1.80e-07) Y,M0:css (L=3.60e-07) Y,M0:css (L=1.00e-06) Y,M0:gds (L=1.80e-07) Y,M0:gds (L=3.60e-07) Y,M0:gds (L=1.00e-06) Y,M0:gm (L=1.80e-07) Y,M0:gm (L=3.60e-07) Y,M0:gm (L=1.00e-06) Y,M0:id (L=1.80e-07) Y,M0:id (L=3.60e-07) Y,M0:id (L=1.00e-06) Y,M0:vgs (L=1.80e-07) Y,M0:vgs (L=3.60e-07) Y,M0:vgs (L=1.00e-06) Y,M0:vth (L=1.80e-07) Y,M0:vth (L=3.60e-07) Y,M0:vth (L=1.00e-06) Y
3.25E-15,3.25E-15,3.25E-15,-1.45E-15,-3.44E-15,-1.03E-14,-3.25E-15,-3.24E-15,-3.22E-15,7.96E-15,1.00E-14,1.74E-14,-3.26E-15,-3.32E-15,-3.88E-15,0,0,0,0,0,0,3.26E-15,3.28E-15,3.52E-15,1.25E-09,1.44E-09,9.64E-10,1.10E-07,1.52E-07,1.39E-07,-4.32E-09,-5.97E-09,-5.55E-09,-0.25,-0.25,-0.25,-0.515143171,-0.457806699,-0.409827367
3.25E-15,3.25E-15,3.25E-15,-1.44E-15,-3.40E-15,-1.01E-14,-3.25E-15,-3.24E-15,-3.22E-15,7.95E-15,1.00E-14,1.76E-14,-3.26E-15,-3.36E-15,-4.29E-15,0,0,0,0,0,0,3.26E-15,3.30E-15,3.76E-15,2.36E-09,2.70E-09,1.78E-09,2.07E-07,2.83E-07,2.54E-07,-8.16E-09,-1.12E-08,-1.03E-08,-0.275,-0.275,-0.275,-0.515143171,-0.457806699,-0.409827367
3.25E-15,3.25E-15,3.25E-15,-1.42E-15,-3.34E-15,-9.79E-15,-3.25E-15,-3.24E-15,-3.22E-15,7.94E-15,1.00E-14,1.81E-14,-3.27E-15,-3.44E-15,-5.06E-15,0,0,0,0,0,0,3.26E-15,3.34E-15,4.20E-15,4.42E-09,5.01E-09,3.23E-09,3.86E-07,5.22E-07,4.59E-07,-1.53E-08,-2.10E-08,-1.90E-08,-0.3,-0.3,-0.3,-0.515143171,-0.457806699,-0.409827367
3.25E-15,3.25E-15,3.25E-15,-1.40E-15,-3.27E-15,-9.34E-15,-3.25E-15,-3.24E-15,-3.22E-15,7.94E-15,1.01E-14,1.90E-14,-3.29E-15,-3.58E-15,-6.44E-15,0,0,0,0,0,0,3.27E-15,3.43E-15,5.00E-15,8.22E-09,9.19E-09,5.80E-09,7.14E-07,9.50E-07,8.22E-07,-2.87E-08,-3.89E-08,-3.46E-08,-0.325,-0.325,-0.325,-0.515143171,-0.457806699,-0.409827367
3.25E-15,3.25E-15,3.25E-15,-1.38E-15,-3.17E-15,-8.66E-15,-3.25E-15,-3.24E-15,-3.21E-15,7.94E-15,1.03E-14,2.07E-14,-3.31E-15,-3.85E-15,-8.80E-15,0,0,0,0,0,0,3.29E-15,3.58E-15,6.36E-15,1.52E-08,1.66E-08,1.02E-08,1.31E-06,1.71E-06,1.46E-06,-5.32E-08,-7.12E-08,-6.23E-08,-0.35,-0.35,-0.35,-0.515143171,-0.457806699,-0.409827367
3.25E-15,3.25E-15,3.24E-15,-1.35E-15,-3.03E-15,-7.67E-15,-3.25E-15,-3.24E-15,-3.20E-15,7.97E-15,1.06E-14,2.33E-14,-3.37E-15,-4.34E-15,-1.24E-14,0,0,0,0,0,0,3.31E-15,3.85E-15,8.44E-15,2.77E-08,2.96E-08,1.78E-08,2.37E-06,3.04E-06,2.55E-06,-9.79E-08,-1.29E-07,-1.11E-07,-0.375,-0.375,-0.375,-0.515143171,-0.457806699,-0.409827367
3.25E-15,3.25E-15,3.24E-15,-1.32E-15,-2.80E-15,-6.42E-15,-3.25E-15,-3.24E-15,-3.19E-15,8.03E-15,1.12E-14,2.68E-14,-3.46E-15,-5.15E-15,-1.72E-14,0,0,0,0,0,0,3.37E-15,4.30E-15,1.12E-14,4.98E-08,5.16E-08,3.01E-08,4.24E-06,5.35E-06,4.37E-06,-1.78E-07,-2.31E-07,-1.96E-07,-0.4,-0.4,-0.4,-0.515143171,-0.457806699,-0.409827367
3.25E-15,3.25E-15,3.23E-15,-1.26E-15,-2.47E-15,-5.08E-15,-3.25E-15,-3.24E-15,-3.18E-15,8.15E-15,1.21E-14,3.07E-14,-3.64E-15,-6.38E-15,-2.24E-14,0,0,0,0,0,0,3.46E-15,4.98E-15,1.41E-14,8.83E-08,8.83E-08,4.95E-08,7.50E-06,9.28E-06,7.25E-06,-3.21E-07,-4.10E-07,-3.38E-07,-0.425,-0.425,-0.425,-0.515143171,-0.457806699,-0.409827367
3.25E-15,3.25E-15,3.22E-15,-1.18E-15,-2.06E-15,-3.92E-15,-3.25E-15,-3.23E-15,-3.17E-15,8.36E-15,1.33E-14,3.41E-14,-3.94E-15,-7.98E-15,-2.70E-14,0,0,0,0,0,0,3.62E-15,5.87E-15,1.67E-14,1.54E-07,1.47E-07,7.78E-08,1.31E-05,1.58E-05,1.15E-05,-5.73E-07,-7.17E-07,-5.69E-07,-0.45,-0.45,-0.45,-0.515143171,-0.457806699,-0.409827367
3.25E-15,3.25E-15,3.22E-15,-1.06E-15,-1.64E-15,-3.08E-15,-3.25E-15,-3.23E-15,-3.17E-15,8.71E-15,1.46E-14,3.66E-14,-4.40E-15,-9.69E-15,-3.03E-14,0,0,0,0,0,0,3.87E-15,6.81E-15,1.86E-14,2.63E-07,2.37E-07,1.16E-07,2.27E-05,2.59E-05,1.72E-05,-1.01E-06,-1.23E-06,-9.25E-07,-0.475,-0.475,-0.475,-0.515143171,-0.457806699,-0.409827367
